text,label
Lehenga |,Non-Promotion
monte carlo |,Non-Promotion
LABEL BY RITU KUMAR |,Non-Promotion
Instagram- AJIO LUXE,Non-Promotion
shop by,Non-Promotion
Gym Wear |,Non-Promotion
nike |,Non-Promotion
red tape |,Non-Promotion
AURELIA |,Non-Promotion
women sweaters |,Non-Promotion
Next,Non-Promotion
kids,Non-Promotion
Smart Shirts That Work Hard,Non-Promotion
hm |,Non-Promotion
Pink Tops |,Non-Promotion
marks & spencer |,Non-Promotion
Trendy: Stay trendy with collections that have a mix of latest trends and timeless pieces.,Non-Promotion
help,Non-Promotion
follow us,Non-Promotion
tommy hilfiger |,Non-Promotion
levis |,Non-Promotion
max |,Non-Promotion
sarees |,Non-Promotion
Home & Kitchen Made Simple,Non-Promotion
gap |,Non-Promotion
EASY EXCHANGE,Non-Promotion
louis philippe |,Non-Promotion
AJIO’s,Non-Promotion
Easy Choices for Kids,Non-Promotion
lingerie |,Non-Promotion
shorts |,Non-Promotion
clarks |,Non-Promotion
kurtis,Non-Promotion
Kalamkari Blouse |,Non-Promotion
Discover the Ease of Online Shopping with AJIO,Non-Promotion
w |,Non-Promotion
A Fresh Take on Fashion,Non-Promotion
Final Thoughts,Non-Promotion
Blog,Non-Promotion
Everyday Tshirts That Go the Distance,Non-Promotion
men,Non-Promotion
Promotions Terms & Conditions,Non-Promotion
performax |,Non-Promotion
100% HANDPICKED,Promotion
women tshirts |,Non-Promotion
The,Non-Promotion
Shoes |,Non-Promotion
Step Out in the Right Pair of Shoes,Non-Promotion
"The denim collection at AJIO offers classic, reliable jeans",Promotion
bikini |,Non-Promotion
Monte Carlo |,Non-Promotion
"Seamless Shopping Experience: A hassle-free journey from discovery to checkout, along with quick delivery.",Non-Promotion
Floral Sarees |,Non-Promotion
earrings |,Non-Promotion
BEAUTY,Non-Promotion
women shirts |,Non-Promotion
How does AJIO Super Cash really work?,Non-Promotion
Stay Ahead with New Trends,Non-Promotion
Levi's |,Non-Promotion
HOME & KITCHEN,Non-Promotion
shirts,Non-Promotion
party wear dresses for women |,Non-Promotion
aldo |,Non-Promotion
women shorts |,Non-Promotion
van heusen |,Non-Promotion
What fabrics should I use across various seasons?,Non-Promotion
"help
Track Your Order
Frequently Asked Questions
Returns
Cancellations
Payments
Customer Care
How Do I Redeem My Coupon",Non-Promotion
women shrugs |,Non-Promotion
allen solly |,Non-Promotion
Easy Returns: Return your products without any trouble so that you shop with assurance.,Non-Promotion
automatic watches |,Non-Promotion
KIDS,Non-Promotion
"Track Your Order
Frequently Asked Questions
Returns
Cancellations
Payments
Customer Care
How Do I Redeem My Coupon",Non-Promotion
New Arrivals,Non-Promotion
Why AJIO?,Non-Promotion
cardigan for women |,Non-Promotion
"Facebook
Instagram- AJIOlife
Instagram- AJIO LUXE
Twitter
Pinterest",Non-Promotion
Biba Kurtis |,Non-Promotion
kitchen,Non-Promotion
Indie,Non-Promotion
Returns,Non-Promotion
Who We Are,Non-Promotion
Curated Looks for Women,Non-Promotion
"follow us
Facebook
Instagram- AJIOlife
Instagram- AJIO LUXE
Twitter
Pinterest",Non-Promotion
tshirts,Non-Promotion
Are size and colour filters available on AJIO?,Non-Promotion
home,Non-Promotion
W |,Non-Promotion
Let's explore what goes into making AJIO's,Non-Promotion
pants,Non-Promotion
women playsuits |,Non-Promotion
AARKE BY RITU KUMAR |,Non-Promotion
Kraus Jeans |,Non-Promotion
trends,Non-Promotion
Pinterest,Non-Promotion
"Sign In / Join AJIO
Customer Care
Visit AJIOLUXE",Non-Promotion
adidas originals |,Non-Promotion
tshirt |,Non-Promotion
Stores,Non-Promotion
Effortless Style for Men,Non-Promotion
MEN,Non-Promotion
"A hassle-free journey from discovery to checkout, along with quick delivery.",Non-Promotion
TRUEBROWNS |,Non-Promotion
&,Non-Promotion
Sign In / Join AJIO,Non-Promotion
Kids,Non-Promotion
Instagram- AJIOlife,Non-Promotion
Returns & Refunds Policy,Non-Promotion
Easy Returns:,Non-Promotion
Cancellations,Non-Promotion
armani exchange |,Non-Promotion
kurta sets |,Non-Promotion
Visit AJIOLUXE,Non-Promotion
Great Value: Get maximum value out of well-made products at affordable prices.,Non-Promotion
Explore the latest in,Non-Promotion
ready to wear saree |,Non-Promotion
mens blazer |,Non-Promotion
Will the return of goods be simple in AJIO?,Non-Promotion
dress for women |,Non-Promotion
salwar suits |,Non-Promotion
reebok |,Non-Promotion
Printed Sarees |,Non-Promotion
women trackpants |,Non-Promotion
dresses,Non-Promotion
Long Gowns |,Non-Promotion
Home,Non-Promotion
sweatshirts |,Non-Promotion
Indian Dresses |,Non-Promotion
Levis Jeans |,Non-Promotion
new balance |,Non-Promotion
secure systems,Non-Promotion
us polo assn |,Non-Promotion
superdry |,Non-Promotion
ASSURED QUALITY,Non-Promotion
asos design |,Non-Promotion
BIBA |,Non-Promotion
Join Our Team,Non-Promotion
Collections,Non-Promotion
experience special.,Non-Promotion
Mens Sports Shoes |,Non-Promotion
jumpsuit for girls |,Non-Promotion
jackets |,Non-Promotion
Twitter,Non-Promotion
Kitten Heels |,Non-Promotion
puma |,Non-Promotion
girls t-shirt |,Non-Promotion
jackets for boys |,Non-Promotion
FABINDIA |,Non-Promotion
Kalamkari Kurtis |,Non-Promotion
shelves |,Non-Promotion
and timeless pieces.,Non-Promotion
Frequently Asked Questions,Non-Promotion
Kurtas & Kurtis for Every Occasion,Non-Promotion
We Respect Your Privacy,Non-Promotion
Slim Fit Jeans |,Non-Promotion
Long Tops |,Non-Promotion
soch |,Non-Promotion
one piece dress |,Non-Promotion
Effortless Dresses for Every Mood,Non-Promotion
Return your products without any trouble so that you shop with assurance.,Non-Promotion
POPULAR CATEGORIES,Non-Promotion
Maheshwari Sarees |,Non-Promotion
Customer Care,Non-Promotion
Soch Sarees |,Non-Promotion
gas brand |,Non-Promotion
Allen Solly |,Non-Promotion
POPULAR BRANDS,Non-Promotion
Women,Non-Promotion
All,Non-Promotion
trampoline |,Non-Promotion
"MEN
WOMEN
KIDS
BEAUTY
HOME & KITCHEN",Non-Promotion
online shopping,Non-Promotion
tops,Non-Promotion
Short Skirts |,Non-Promotion
Oversized Hoodies |,Non-Promotion
POPULAR SEARCH,Non-Promotion
Van Heusen |,Non-Promotion
Great Value:,Non-Promotion
tunics,Non-Promotion
Men,Non-Promotion
skechers |,Non-Promotion
Facebook,Non-Promotion
fastrack |,Non-Promotion
cord set for women |,Non-Promotion
Stay trendy with collections that have a mix of latest,Non-Promotion
silk saree |,Non-Promotion
"Sign In / Join AJIO
Customer Care
Visit AJIOLUXE
MEN
WOMEN
KIDS
BEAUTY
HOME & KITCHEN",Non-Promotion
night suit for women |,Non-Promotion
women blazers |,Non-Promotion
Sports Wear |,Non-Promotion
AJIO redefines,Non-Promotion
Payments,Non-Promotion
women jackets |,Non-Promotion
payment methods,Non-Promotion
Straight Fit Pants |,Non-Promotion
american polo |,Non-Promotion
biba |,Non-Promotion
Get maximum value out of well-made products at affordable prices.,Non-Promotion
Arrow |,Non-Promotion
Seamless Shopping Experience:,Non-Promotion
Denim Dresses |,Non-Promotion
steve madden |,Non-Promotion
cropped tops |,Non-Promotion
How Do I Redeem My Coupon,Non-Promotion
Trendy:,Non-Promotion
track pant |,Non-Promotion
SOCH |,Non-Promotion
leather jacket for men |,Non-Promotion
"All
Men
Women
Kids
Indie
Stores
New Arrivals
Brand Directory
Home
Collections",Non-Promotion
Reliable Denim for All-Day Wear,Non-Promotion
Kota Sarees |,Non-Promotion
Cotton Shirts |,Non-Promotion
"At AJIO, you’ll find fresh,",Non-Promotion
Fees & Payments,Non-Promotion
adidas |,Non-Promotion
Online shopping,Non-Promotion
Louis Philippe |,Non-Promotion
"This fashion and homeware collection, chosen carefully, is designed to suit all tastes.",Non-Promotion
Monte Carlo Sweaters |,Non-Promotion
suit |,Non-Promotion
Laptop Backpacks |,Non-Promotion
"payment methods
secure systems",Non-Promotion
bracelet for women |,Non-Promotion
EASY EXCHANGE100% HANDPICKEDASSURED QUALITY,Promotion
men watches |,Non-Promotion
Relaxed Fit Jeans |,Non-Promotion
kurtas,Non-Promotion
"Curated collections: This fashion and homeware collection, chosen carefully, is designed to suit all tastes.",Non-Promotion
Curated collections:,Non-Promotion
"shop by
All
Men
Women
Kids
Indie
Stores
New Arrivals
Brand Directory
Home
Collections",Non-Promotion
fashion,Non-Promotion
crocs |,Non-Promotion
WOMEN,Non-Promotion
Ethnic Dresses |,Non-Promotion
women watch |,Non-Promotion
Let's explore what goes into making AJIO's online shopping experience special.,Non-Promotion
Tops That Keep It Effortless,Non-Promotion
AJIO’s collection of,Non-Promotion
jeans for women |,Non-Promotion
How do I determine if a clothing product will be comfortable?,Non-Promotion
Track Your Order,Non-Promotion
Brand Directory,Non-Promotion
women sweatshirts |,Non-Promotion
FAQs,Non-Promotion
Wool Sweaters |,Non-Promotion
jeans,Non-Promotion
dupatta |,Non-Promotion
Messenger Bags |,Non-Promotion
"Next
Next
Next
Next
Next
Next",Non-Promotion
Terms & Conditions,Non-Promotion
ajio,Non-Promotion
